Age;Depth (cm);Sedimentation rate;Sedimentation rate x 1000;Concentration (grains/cm3) / 1000;picea;betula;pinus;populus;alnus.crispa;alnus.rugosa;juniperus;salix;larix;cyperaceae;ericaceae;myrica;lycopodium;artemisia;poaceae;pediastrum;nuphar;potamogeton;tetrade;saxifragaceae;epilobium.palustris;coptis.trifolia;ambrosia;thalictrum;sparganium;rosaceae;equisetum;chenopodiaceae;scutellaria.galericulata;aster;dryas;brassicaceae;caryophyllaceae;sparganiaceae;sheperdia.canadensis;rubus;cruciferae;ranunculaceae;papaveraceae
3523;173;0.057142857;57.142857;33.216;63.96917148;19.07514451;7.996146435;0;6.069364162;1.445086705;0;0;0;0;0.289017341;0;0.289017341;0.289017341;0;0;0.289017341;0;0;0;0;0;0;0;0;0;0.281954887;0;0;0;0;0;0;0;0;0;0;0;0
3558;175;0.057142857;57.142857;30.7409201;44.42344045;27.22117202;6.52173913;0.283553875;13.89413989;2.268431002;0;0.283553875;0.283553875;1.701323251;2.551984877;0;0;0;0;0;0.283553875;0.283553875;0;0;0;0;0;0;0;0;0.306122449;0;0;0;0;0;0;0;0;0;0;0;0
3593;177;0.052631579;52.631579;30.22670025;52.2;26.4;5.5;0;10.8;0.3;0;0;0;1.2;2.1;0;0.3;0;0.3;0;0.3;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3631;179;0.052631579;52.631579;42.83959044;38.91013384;31.26195029;5.162523901;0.286806883;17.49521989;2.58126195;0;0.573613767;0;0.86042065;0;0.286806883;0;0.86042065;0;0;0.286806883;0.86042065;0;0.286806883;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3669;181;0.045454545;45.454545;35.19732441;42.64538198;32.15507412;9.464082098;0.342075257;11.97263398;0;0.342075257;0;0;1.368301026;0.684150513;0.342075257;0;0;0.342075257;0;0.342075257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3713;183;0.049382716;49.382716;37.54029851;49.61832061;30.05725191;6.011450382;0;8.58778626;1.43129771;0;0.286259542;0;0.858778626;1.43129771;0;0;0.858778626;0.286259542;0;0.572519084;0;0;0;0;0;0;0;0;0;0;0.354191263;0;0;0;0;0;0;0;0;0;0;0
3794;187;0.052631579;52.631579;37.10091743;52.8189911;28.78338279;5.934718101;0.296735905;8.308605341;1.78041543;0;0.296735905;0;0.296735905;1.18694362;0;0.296735905;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3870;191;0.047058824;47.058824;39.52475248;56.01202405;21.34268537;10.92184369;0;6.312625251;1.503006012;0;0.300601202;0;1.503006012;1.20240481;0;0.300601202;0;0;0;0.300601202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3955;195;0.066666667;66.666667;33.04864865;39.54857704;42.10009814;6.575073602;0;5.888125613;2.060843965;0;0;0;0.294406281;1.177625123;0.883218842;0.883218842;0;0;0;0;0.294406281;0;0.294406281;0;0;0;0;0;0.302114804;0;0;0;0;0;0;0;0;0;0;0;0;0
4015;199;0.056338028;56.338028;31.2361809;50.67567568;28.08880309;7.046332046;0;6.081081081;3.185328185;0;0;0;1.158301158;1.737451737;0.579150579;0.28957529;0.579150579;0;0;0;0;0;0;0;0;0;0;0.301810865;0;0;0;0;0;0;0;0;0;0;0;0;0;0
