DepthTop;DepthBottom;AgeTop;AgeBottom;Volume;Charcoal
138;139;4800;4836;1;0.57
139;140;4836;4870;1;0.42
140;141;4870;4907;1;0.29
141;142;4907;4946;1;0.35
142;143;4946;4982;1;0.2
143;144;4982;5020;1;0.38
144;145;5020;5053;1;0.1
145;146;5053;5084;1;1.86
146;147;5084;5115;1;1.46
147;148;5115;5152;1;0.83
148;149;5152;5192;1;0.89
149;150;5192;5231;1;1.95
150;151;5231;5259;1;0.3
151;152;5259;5291;1;0.16
152;153;5291;5323;1;0.25
153;154;5323;5357;1;0.32
154;155;5357;5389;1;0.55
155;156;5389;5416;1;0.88
156;157;5416;5444;1;0.53
157;158;5444;5472;1;0.28
158;159;5472;5503;1;0.86
159;160;5503;5538;1;1.1
160;161;5538;5562;1;0.11
161;162;5562;5589;1;0.11
162;163;5589;5615;1;0.53
163;164;5615;5640;1;0.96
164;165;5640;5662;1;0.17
165;166;5662;5690;1;0.24
166;167;5690;5718;1;0.14
167;168;5718;5741;1;0.99
168;169;5741;5763;1;0.3
169;170;5763;5783;1;0.51
170;171;5783;5809;1;1.57
171;172;5809;5836;1;0.5
172;173;5836;5864;1;0.43
173;174;5864;5889;1;0.41
174;175;5889;5914;1;0.37
175;176;5914;5939;1;1.67
176;177;5939;5966;1;0.73
177;178;5966;5997;1;0.56
178;179;5997;6026;1;0.27
179;180;6026;6050;1;1
180;181;6050;6079;1;0.61
181;182;6079;6106;1;0.6
182;183;6106;6134;1;0.9
183;184;6134;6160;1;0.09
184;185;6160;6185;1;0.02
185;186;6185;6208;1;0.24
186;187;6208;6235;1;0.33
187;188;6235;6260;1;3.31
188;189;6260;6286;1;0.96
189;190;6286;6313;1;0.34
190;191;6313;6334;1;6.83
191;192;6334;6357;1;0.04
192;193;6357;6382;1;0.53
193;194;6382;6407;1;0.73
194;195;6407;6429;1;0.95
195;196;6429;6450;1;1.21
196;197;6450;6470;1;0.44
197;198;6470;6493;1;3.1
198;199;6493;6515;1;0.38
199;200;6515;6539;1;0.19
200;201;6539;6558;1;0.48
201;202;6558;6579;1;0.31
202;203;6579;6604;1;0.74
203;204;6604;6627;1;0.88
204;205;6627;6645;1;1.26
205;206;6645;6675;1;0.55
206;207;6675;6702;1;1.33
207;208;6702;6727;1;0.35
208;209;6727;6749;1;0.21
209;210;6749;6770;1;0.2
210;211;6770;6799;1;0.7
211;212;6799;6827;1;1.74
212;213;6827;6855;1;0.71
213;214;6855;6884;1;1.28
214;215;6884;6909;1;0.49
215;216;6909;6930;1;0.73
216;217;6930;6952;1;0.3
217;218;6952;6976;1;0.63
218;219;6976;6998;1;0.49
219;220;6998;7018;1;3.17
220;221;7018;7045;1;0.49
221;222;7045;7074;1;0.14
222;223;7074;7101;1;1.3
223;224;7101;7129;1;2.35
224;225;7129;7153;1;0.61
225;226;7153;7179;1;1.15
226;227;7179;7209;1;0.86
227;228;7209;7236;1;0.29
228;229;7236;7265;1;2.63
229;230;7265;7289;1;1.26
230;231;7289;7317;1;0.88
231;232;7317;7343;1;0.44
232;233;7343;7369;1;0.42
233;234;7369;7397;1;2.86
234;235;7397;7424;1;0.24
235;236;7424;7446;1;1.18
236;237;7446;7471;1;1.38
237;238;7471;7494;1;0.7
238;239;7494;7518;1;0.48
239;240;7518;7542;1;0.43
240;241;7542;7571;1;0.69
