age;depth;Sedimentation rate;PAR;Picea;Betula;Pinus;Populus;Alnus.crispa;Alnus.rugosa;Juniperus;Salix;Larix;Cyperaceae;Pediastrum;Ericaceae;Myrica;Lycopodium;Nuphar;Potamogeton;Artemisia;Poaceae;;;;;;;;;;;;;;;;;;;;
1566;225;0.04403993;1957.025322;898.6340762;485.2624012;261.6023644;0;209.6812844;29.95446921;17.97268152;5.990893841;0;23.96357537;0;11.98178768;0;0;5.990893841;0;0;11.98178768;;;;;;;;;;;;;;;;;;;;
1647;229;0.044382022;1540.119153;644.8852833;427.8108759;163.2019267;0;232.9192547;14.26036253;0;14.26036253;4.753454177;4.753454177;9.506908353;28.52072506;0;4.753454177;0;0;0;0;;;;;;;;;;;;;;;;;;;;
1726;233;0.044695746;1670.135027;879.7747606;344.8844797;225.1329242;4.790062218;134.1217421;14.37018665;14.37018665;4.790062218;4.790062218;14.37018665;4.790062218;19.16024887;4.790062218;0;9.580124435;0;0;4.790062218;;;;;;;;;;;;;;;;;;;;
1765;235;0.044831224;1704.971941;848.6562942;422.7962765;231.3124556;0;105.6990691;32.16928191;9.191223403;4.595611701;13.7868351;22.97805851;4.595611701;9.191223403;0;0;4.595611701;0;0;4.595611701;;;;;;;;;;;;;;;;;;;;
1802;237;0.04496124;1192.113182;544.2756129;258.9048899;192.1649627;0;148.4388035;17.26032599;6.904130396;6.904130396;0;6.904130396;0;6.904130396;0;3.452065198;3.452065198;0;0;0;;;;;;;;;;;;;;;;;;;;
1837;239;0.045108971;2323.760959;796.2068349;892.3778851;158.7940598;0;315.3515835;73.80568975;6.709608159;13.41921632;0;13.41921632;0;46.96725711;6.709608159;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
1875;241;0.045228628;1680.648205;932.4786047;356.1224822;148.3843676;4.685822134;178.0612411;23.42911067;9.371644268;0;4.685822134;9.371644268;0;4.685822134;4.685822134;4.685822134;9.371644268;0;0;0;;;;;;;;;;;;;;;;;;;;
1918;243;0.045343735;2520.902271;1290.762586;469.8274773;260.1732805;0;371.3152643;37.88931269;0;15.15572508;0;45.46717523;0;30.31145015;0;0;7.577862538;0;0;0;;;;;;;;;;;;;;;;;;;;
1959;245;0.045454545;746.4888827;332.7076475;245.5152985;76.48451667;4.589071;52.7743165;2.2945355;4.589071;4.589071;0;4.589071;4.589071;11.4726775;6.8836065;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2003;247;0.045561296;1746.58233;755.7641298;406.4476637;207.3046317;9.793919608;249.74495;24.48479902;14.69087941;4.896959804;0;24.48479902;4.896959804;24.48479902;9.793919608;0;9.793919608;0;14.69087941;0;;;;;;;;;;;;;;;;;;;;
