Age;Depth (cm);Sedimentation rate (0.5 cm);nbr_yr
2051.5;99.5;0.051020408;9.8
2061.3;100;0.054347826;9.2
2070.5;100.5;0.056179775;8.9
2079.4;101;0.06097561;8.2
2087.6;101.5;0.053191489;9.4
2097;102;0.053763441;9.3
2106.3;102.5;0.058823529;8.5
2114.8;103;0.06097561;8.2
2123;103.5;0.052083333;9.6
2132.6;104;0.058139535;8.6
2141.2;104.5;0.047619048;10.5
2151.7;105;0.058139535;8.6
2160.3;105.5;0.051546392;9.7
2170;106;0.051020408;9.8
2179.8;106.5;0.051020408;9.8
2189.6;107;0.047619048;10.5
2200.1;107.5;0.054347826;9.2
2209.3;108;0.052631579;9.5
2218.8;108.5;0.04950495;10.1
2228.9;109;0.050505051;9.9
2238.8;109.5;0.05;10
2248.8;110;0.05;10
2258.8;110.5;0.049019608;10.2
2269;111;0.052083333;9.6
2278.6;111.5;0.046728972;10.7
2289.3;112;0.053191489;9.4
2298.7;112.5;0.047619048;10.5
2309.2;113;0.045045045;11.1
2320.3;113.5;0.058823529;8.5
2328.8;114;0.04587156;10.9
2339.7;114.5;0.05;10
2349.7;115;0.052083333;9.6
2359.3;115.5;0.052631579;9.5
2368.8;116;0.04950495;10.1
2378.9;116.5;0.049019608;10.2
2389.1;117;0.04587156;10.9
2400;117.5;0.043859649;11.4
2411.4;118;0.04950495;10.1
2421.5;118.5;0.045454545;11
2432.5;119;0.046296296;10.8
2443.3;119.5;0.045045045;11.1
2454.4;120;0.0625;8
2462.4;120.5;0.054347826;9.2
2471.6;121;0.050505051;9.9
2481.5;121.5;0.049019608;10.2
2491.7;122;0.053191489;9.4
2501.1;122.5;0.052631579;9.5
2510.6;123;0.053191489;9.4
2520;123.5;0.050505051;9.9
2529.9;124;0.056179775;8.9
2538.8;124.5;0.061728395;8.1
2546.9;125;0.047169811;10.6
2557.5;125.5;0.044642857;11.2
2568.7;126;0.046728972;10.7
2579.4;126.5;0.05;10
2589.4;127;0.054945055;9.1
2598.5;127.5;0.052631579;9.5
2608;128;0.054347826;9.2
2617.2;128.5;0.05;10
2627.2;129;0.058139535;8.6
2635.8;129.5;0.04950495;10.1
2645.9;130;0.049019608;10.2
2656.1;130.5;0.04;12.5
2668.6;131;0.049019608;10.2
2678.8;131.5;0.047169811;10.6
2689.4;132;0.042372881;11.8
2701.2;132.5;0.048543689;10.3
2711.5;133;0.043103448;11.6
2723.1;133.5;0.043478261;11.5
2734.6;134;0.043859649;11.4
2746;134.5;0.050505051;9.9
2755.9;135;0.045454545;11
2766.9;135.5;0.057471264;8.7
2775.6;136;0.042735043;11.7
2787.3;136.5;0.045045045;11.1
2798.4;137;0.042372881;11.8
2810.2;137.5;0.044247788;11.3
2821.5;138;0.046728972;10.7
2832.2;138.5;0.047169811;10.6
2842.8;139;0.045045045;11.1
2853.9;139.5;0.046728972;10.7
2864.6;140;0.04950495;10.1
2874.7;140.5;0.047619048;10.5
2885.2;141;0.052083333;9.6
2894.8;141.5;0.050505051;9.9
2904.7;142;0.042016807;11.9
