Age;Depth (cm);Sedimentation rate (0.5 cm);nbr_yr
7839.9;383.5;0.045454545;11
7850.9;384;0.044247788;11.3
7862.2;384.5;0.040983607;12.2
7874.4;385;0.033112583;15.1
7889.5;385.5;0.035714286;14
7903.5;386;0.040322581;12.4
7915.9;386.5;0.043859649;11.4
7927.3;387;0.042372881;11.8
7939.1;387.5;0.042372881;11.8
7950.9;388;0.043478261;11.5
7962.4;388.5;0.040983607;12.2
7974.6;389;0.043103448;11.6
7986.2;389.5;0.045045045;11.1
7997.3;390;0.033333333;15
8012.3;390.5;0.030864198;16.2
8028.5;391;0.033557047;14.9
8043.4;391.5;0.032894737;15.2
8058.6;392;0.035714286;14
8072.6;392.5;0.032258065;15.5
8088.1;393;0.034722222;14.4
8102.5;393.5;0.035714286;14
8116.5;394;0.037593985;13.3
8129.8;394.5;0.040983607;12.2
8142;395;0.034246575;14.6
8156.6;395.5;0.031446541;15.9
8172.5;396;0.032679739;15.3
8187.8;396.5;0.031055901;16.1
8203.9;397;0.030864198;16.2
8220.1;397.5;0.030864198;16.2
8236.3;398;0.033783784;14.8
8251.1;398.5;0.035460993;14.1
8265.2;399;0.035211268;14.2
8279.4;399.5;0.033557047;14.9
8294.3;400;0.036764706;13.6
8307.9;400.5;0.03164557;15.8
8323.7;401;0.03164557;15.8
8339.5;401.5;0.032051282;15.6
8355.1;402;0.032679739;15.3
8370.4;402.5;0.030864198;16.2
8386.6;403;0.029585799;16.9
8403.5;403.5;0.032051282;15.6
8419.1;404;0.034013605;14.7
8433.8;404.5;0.034013605;14.7
8448.5;405;0.037593985;13.3
8461.8;405.5;0.037037037;13.5
8475.3;406;0.035460993;14.1
8489.4;406.5;0.033783784;14.8
8504.2;407;0.033333333;15
8519.2;407.5;0.033112583;15.1
8534.3;408;0.033783784;14.8
8549.1;408.5;0.035714286;14
8563.1;409;0.036231884;13.8
8576.9;409.5;0.0390625;12.8
8589.7;410;0.033333333;15
8604.7;410.5;0.028248588;17.7
8622.4;411;0.030120482;16.6
8639;411.5;0.030120482;16.6
8655.6;412;0.029585799;16.9
8672.5;412.5;0.031446541;15.9
8688.4;413;0.033557047;14.9
8703.3;413.5;0.033557047;14.9
8718.2;414;0.033112583;15.1
8733.3;414.5;0.034013605;14.7
8748;415;0.037878788;13.2
8761.2;415.5;0.037313433;13.4
8774.6;416;0.035971223;13.9
8788.5;416.5;0.037037037;13.5
8802;417;0.034722222;14.4
8816.4;417.5;0.034013605;14.7
8831.1;418;0.034246575;14.6
8845.7;418.5;0.031847134;15.7
8861.4;419;0.033783784;14.8
8876.2;419.5;0.032258065;15.5
8891.7;420;0.033783784;14.8
8906.5;420.5;0.034013605;14.7
8921.2;421;0.03164557;15.8
8937;421.5;0.037037037;13.5
8950.5;422;0.031847134;15.7
8966.2;422.5;0.032258065;15.5
8981.7;423;0.032258065;15.5
8997.2;423.5;0.031446541;15.9
9013.1;424;0.034722222;14.4
9027.5;424.5;0.030864198;16.2
9043.7;425;0.037878788;13.2
9056.9;425.5;0.034722222;14.4
9071.3;426;0.034482759;14.5
9085.8;426.5;0.037313433;13.4
9099.2;427;0.034965035;14.3
9113.5;427.5;0.035211268;14.2
9127.7;428;0.029239766;17.1
9144.8;428.5;0.034965035;14.3
9159.1;429;0.033333333;15
9174.1;429.5;0.035460993;14.1
9188.2;430;0.035460993;14.1
9202.3;430.5;0.037313433;13.4
9215.7;431;0.032894737;15.2
9230.9;431.5;0.035460993;14.1
9245;432;0.032679739;15.3
9260.3;432.5;0.034013605;14.7
9275;433;0.030487805;16.4
9291.4;433.5;0.033333333;15
9306.4;434;0.032894737;15.2
9321.6;434.5;0.035971223;13.9
9335.5;435;0.034013605;14.7
9350.2;435.5;0.035714286;14
9364.2;436;0.032258065;15.5
9379.7;436.5;0.033783784;14.8
9394.5;437;0.033557047;14.9
9409.4;437.5;0.031055901;16.1
9425.5;438;0.030864198;16.2
9441.7;438.5;0.028571429;17.5
9459.2;439;0.034013605;14.7
9473.9;439.5;0.032258065;15.5
9489.4;440;0.037593985;13.3
9502.7;440.5;0.039370079;12.7
9515.4;441;0.034013605;14.7
9530.1;441.5;0.03875969;12.9
9543;442;0.034013605;14.7
9557.7;442.5;0.03164557;15.8
9573.5;443;0.032467532;15.4
9588.9;443.5;0.033112583;15.1
9604;444;0.033557047;14.9
9618.9;444.5;0.033783784;14.8
9633.7;445;0.043478261;11.5
9645.2;445.5;0.043103448;11.6
9656.8;446;0.046296296;10.8
9667.6;446.5;0.042016807;11.9
9679.5;447;0.03875969;12.9
9692.4;447.5;0.04;12.5
9704.9;448;0.04;12.5
9717.4;448.5;0.03649635;13.7
9731.1;449;0.034246575;14.6
9745.7;449.5;0.034722222;14.4
9760.1;450;0.054347826;9.2
9769.3;450.5;0.056818182;8.8
9778.1;451;0.050505051;9.9
9788;451.5;0.046296296;10.8
9798.8;452;0.044247788;11.3
9810.1;452.5;0.048076923;10.4
9820.5;453;0.053191489;9.4
9829.9;453.5;0.054347826;9.2
9839.1;454;0.055555556;9
9848.1;454.5;0.058823529;8.5
9856.6;455;0.05;10
9866.6;455.5;0.045454545;11
9877.6;456;0.05;-9877.6
