Age;Temp;sup;inf
4675;2.1158;2.925345055;1.325847009
4700;2.7037;3.568178974;1.85845834
4725;3.2327;4.146612893;2.337869672
4750;2.6151;3.469246812;1.779881003
4775;2.6675;3.525580731;1.827992334
4800;2.0562;2.85511465;1.275703666
4825;2.0057;2.79874857;1.230714997
4850;0.8358;1.516482489;0.173026328
4875;1.5517;2.299616408;0.82153766
4900;1.1757;1.886750327;0.482048991
4925;1.9525;2.736584246;1.185660322
4950;2.6621;3.512818165;1.828471654
4975;3.166;4.063652085;2.285082985
5000;3.5375;4.469586004;2.621994316
5025;2.9357;3.809335105;2.078363232
5050;2.3108;3.123784205;1.513832148
5075;1.5641;2.304833306;0.839101063
5100;2.2118;3.013082407;1.425969979
5125;2.0174;2.799031508;1.250938895
5150;2.2514;3.054180609;1.46350781
5175;1.7147;2.46522971;0.978776726
5200;3.0763;3.95547881;2.211645642
5225;2.3779;3.189427911;1.580614557
5250;1.5367;2.266977012;0.820383473
5275;2.0647;2.844126113;1.298952389
5300;1.5721;2.303475214;0.854121304
5325;1.9804;2.749524315;1.22439022
5350;2.5504;3.372673415;1.740959136
5375;2.5534;3.374822516;1.744528051
5400;2.3338;3.133171617;1.546696967
5425;2.7736;3.613720718;1.945465883
5450;2.7828;3.622769819;1.954734798
5475;2.6514;3.47771892;1.836703714
5500;1.9761;2.73696802;1.22657263
5525;3.234;4.113422034;2.365651009
5550;2.4277;3.228976047;1.637029389
5575;2.35;3.14263006;1.567707769
5600;2.4823;3.286284074;1.688386148
5625;2.6818;3.503538087;1.869864528
5650;2.7805;3.6103921;1.960142908
5675;1.9573;2.707546114;1.216321287
5700;2.6314;3.444600127;1.827199667
5725;2.518;3.31915414;1.725578047
5750;2.8205;3.649108154;2.000156426
5775;3.2804;4.151562167;2.417234806
5800;2.0897;2.84621618;1.340913186
5825;2.5706;3.371670194;1.776991565
5850;2.4236;3.209424207;1.644969945
5875;1.7033;2.41927822;0.994248325
5900;2.747;3.561132234;1.939526704
5925;2.7932;3.610486247;1.982305084
5950;2.1843;2.94224026;1.432283464
5975;1.7391;2.453394274;1.030461843
6000;1.0503;1.697748287;0.408240223
6025;1.65;2.350343655;0.954012756
6050;2.5269;3.306539024;1.750585289
6075;1.3374;1.999534392;0.677557823
6100;0.927;1.54582976;0.309430356
6125;1.8585;2.561825129;1.155402889
6150;2.4603;3.216720497;1.703075422
6175;1.926;2.627315865;1.222847955
6200;1.6668;2.339211234;0.991520488
6225;1.414;2.058006602;0.765893022
6250;2.9167;3.69960197;2.128665555
6275;2.6638;3.418397339;1.903038088
6300;1.9741;2.658792707;1.282210621
6325;2.1937;2.895088075;1.484083154
6350;2.2558;2.958883444;1.543455687
6375;3.1033;3.882878812;2.313428221
6400;3.0646;3.83627418;2.281600754
6425;1.8394;2.490169549;1.176273287
6450;2.2711;2.958764917;1.57004582
6475;2.665;3.385960285;1.929618353
6500;2.1307;2.796555654;1.449390886
6525;3.0554;3.810368878;2.285163947
6550;2.2224;2.899082102;1.530637008
6575;1.5846;2.201695326;0.952810069
6600;2.7697;3.50070855;2.02418313
6625;2.9908;3.744021775;2.223456191
6650;2.1305;2.802834999;1.444229251
6675;2.4105;3.110548223;1.696702312
6700;2.5245;3.236561447;1.799075373
6725;2.6029;3.323474671;1.869148434
6750;3.0971;3.865787895;2.315421495
6775;2.0561;2.72680112;1.372794556
6800;3.8271;4.667514344;2.974267616
6825;3.2229;4.006927568;2.426840677
6850;2.4487;3.160040792;1.725513738
6875;2.6993;3.435554016;1.951386799
6900;2.8973;3.65356724;2.12975986
6925;2.5914;3.319580465;1.852132921
6950;3.4068;4.213793689;2.589105981
6975;2.2042;2.897706913;1.500179042
7000;2.0957;2.779920137;1.401152103
7025;2.271;2.974552999;1.557768254
7050;2.4715;3.19678586;1.737184406
7075;2.6993;3.448918722;1.941300557
7100;3.2064;4.006951584;2.398116708
7125;2.7685;3.529984445;1.99993286
7150;1.6082;2.261817307;0.948149011
7175;2.7936;3.562750169;2.018665162
7200;2.2234;2.94088303;1.500781314
7225;1.4054;2.047615892;0.758697465
7250;2.826;3.606148754;2.042013616
7275;2.7745;3.552381615;1.993429768
7300;3.1787;3.997714477;2.357145919
7325;3.2763;4.107247339;2.44346207
7350;1.9753;2.6849802;1.264378222
7375;2.2199;2.955513062;1.483694373
7400;2.6388;3.416945924;1.860710524
7425;2.5432;3.314878785;1.772226676
7450;1.1267;1.766111647;0.488642827
7475;2.037;2.765744509;1.310258978
7500;2.9662;3.78607737;2.14897513
7525;4.058;4.984596982;3.134694519
7550;1.9347;2.661816594;1.211513907
7575;2.9425;3.768336205;2.121233296
7600;2.5454;3.336155817;1.759852685
7625;1.8836;2.614175429;1.159072074
7650;2.0115;2.75699504;1.272691463
7675;2.2381;3.007914652;1.475610852
7700;2.912;3.748734264;2.08323024
7725;3.6488;4.558553875;2.747849629
7750;3.6339;4.544973487;2.732269018
7775;3.3691;4.257693099;2.490588407
7800;3.3899;4.28321271;2.507307796
7825;5.0549;6.109632322;4.011727185
7850;3.9774;4.932251934;3.034746573
7875;2.566;3.389171545;1.755665962
7900;2.4524;3.267491157;1.650785351
7925;4.1615;5.142210769;3.19510474
7950;4.4658;5.478230381;3.468324129
7975;3.9469;4.912649992;2.996743518
8000;2.6447;3.489169604;1.816462906
8025;3.1624;4.066900586;2.276922811
8050;3.0901;3.998331567;2.203482716
8075;3.1102;4.030962549;2.213642621
8100;3.1743;4.111893531;2.263702526
8125;2.5497;3.438424512;1.690562431
8150;1.0389;1.794355494;0.315622335
8175;1.9262;2.776886476;1.11048224
8200;1.8056;2.655417457;0.993342145
8225;2.2205;3.120448439;1.36070205
8250;2.6269;3.576279421;1.720461955
8275;3.2035;4.218410402;2.23412186
8300;3.4987;4.552341384;2.493181764
8325;3.1764;4.210072366;2.193641669
8350;3.4275;4.495703347;2.412801574
8375;3.6072;4.703134329;2.567361479
8400;3.9716;5.112965311;2.889121384
8425;5.0123;6.263396292;3.822681289
8450;4.3415;5.539327274;3.207741193
8475;3.2212;4.323058256;2.186201098
8500;3.004;4.095789237;1.981661003
8525;3.1538;4.266023181;2.112676754
8550;4.0051;5.204457126;2.878292505
8575;3.1008;4.22009107;2.055508256
8600;3.8113;5.004425014;2.693824006
8625;3.2766;4.424858958;2.205439757
8650;2.2631;3.320892902;1.283855508
8675;2.8119;3.928126846;1.775871259
8700;3.3482;4.521560791;2.25648701
8725;2.803;3.930494735;1.758602761
8750;4.5635;5.864828679;3.346918511
8775;4.0855;5.347362623;2.909834262
8800;3.7062;4.937996567;2.562050013
8825;4.2046;5.490030511;3.008465764
8850;2.5254;3.656964456;1.484581515
8875;2.6942;3.8478984;1.632697266
8900;3.3669;4.590832344;2.236813016
8925;4.088;5.386666288;2.884628767
8950;3.4755;4.722000232;2.325944518
8975;3.4154;4.662234176;2.266960269
9000;2.9815;4.193068121;1.86977602
9025;2.7736;3.979976877;1.670661584
9050;1.814;2.943485634;0.791347147
9075;2.7947;4.032194391;1.667632711
9100;3.9771;5.341703147;2.726318275
9125;3.7293;5.084911904;2.491103839
9150;3.5194;4.869520661;2.290089403
9175;3.7714;5.160129417;2.507074967
9200;3.8723;5.285138174;2.58726053
9225;3.8408;5.265246931;2.547746094
9250;3.9312;5.378755687;2.618431658
